"用例编号","级别","一级模块","二级模块","功能","验证点","前置条件","测试步骤","测试数据","预期结果","测试结果","执行人","执行时间","编写人","编写时间","备注"
"APS_JCPZ_0796","中级","基础配置","供应商管理","列表","验证表头筛选/查询值功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 在某列（如「供应商类型」）表头筛选中输入/选择查询值
步骤3: 确认查询","筛选值:采购供应商","1. 表头筛选入口正常
2. 按筛选值过滤列表数据
3. 筛选后数据均满足筛选条件","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","表头筛选按值过滤正常,177条采购供应商"
"APS_JCPZ_0797","中级","基础配置","供应商管理","列表","验证表头筛选-多条件组合筛选是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 在「供应商类型」设置筛选值
步骤2: 在「数据状态」设置筛选值
步骤3: 查看列表","供应商类型:采购供应商;数据状态:已审核","1. 列表展示同时满足多个筛选条件的数据
2. 各筛选条件同时生效","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0798","中级","基础配置","供应商管理","列表","验证表头筛选-清除/取消筛选是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置表头筛选条件
步骤2: 清除该列筛选条件","导出模板:通用导出模板","1. 筛选条件被清除
2. 列表恢复展示全部数据","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","清除筛选后列表恢复181条全量"
"APS_JCPZ_0799","中级","基础配置","供应商管理","列表","验证列表数据为空时展示是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置筛选条件使查询结果为空
步骤2: 查看列表展示","供应商名称:修改后的供应商名称
使用组织:鸿业集团
国家:中国
区域:华东
法人代表:李四
注册资金:1000万
地址:广东省中山市","1. 列表展示空数据提示（如「暂无数据」）
2. 页面无报错","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","筛选空结果后列表展示「暂无数据」,无报错"
"APS_JCPZ_0800","中级","基础配置","供应商管理","列表","验证列表刷新功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 点击「刷新」按钮","供应商名称:（清空）
供应商类型:（清空）","1. 列表重新加载最新数据
2. 刷新过程页面无报错","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","刷新按钮触发加载动画,列表重新加载181条,无报错"
"APS_JCPZ_0801","中级","基础配置","供应商管理","列表","验证列表勾选/全选/取消功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 勾选列表单条记录
步骤2: 点击表头全选复选框
步骤3: 再次点击取消全选","供应商名称:输入超长字符（超过字段最大限制）
简称:输入超长字符
法人代表:输入超长字符
地址:输入超长字符","1. 单条记录可正常勾选/取消
2. 全选后当前页所有记录被勾选
3. 取消全选后所有记录取消勾选","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","单条勾选/全选/取消全选均正常"
"APS_JCPZ_0802","高级","基础配置","供应商管理","列表","验证列表数据加载loading状态是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 观察数据加载过程
步骤3: 切换分页观察加载状态","供应商名称:系统中已存在的其他供应商名称（重复）","1. 数据加载期间展示loading状态
2. 加载完成后loading消失，数据正常展示","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","加载期间显示loading动画,加载完成正常展示;分页切换因仅1页不可用(数据量限制)"
"APS_JCPZ_0803","高级","基础配置","供应商管理","列表","验证列表无新增/导入/启用/停用操作入口（数据仅金蝶ERP同步展示）","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 查看操作按钮栏及列表行操作","简称:系统中已存在的其他供应商简称（重复）","1. 页面无「新增」「导入」「启用」「停用」操作按钮
2. 列表数据来源于金蝶ERP接口同步，仅做展示
3. 仅提供查看、编辑、导出等操作入口","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","工具栏无新增/导入/启用/停用;操作列仅日志查看类入口,数据为金蝶ERP同步只读"
"APS_JCPZ_0804","中级","基础配置","供应商管理","查询条件设置","验证查询条件设置入口及基础功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 点击「查询条件设置」按钮
步骤3: 查看查询条件设置面板","默认税率:输入非数字字符","1. 查询条件设置入口正常显示
2. 面板正常弹出
3. 默认查询条件正常展示","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","查询条件设置面板正常弹出,默认条件「创建组织 等于」正常展示"
"APS_JCPZ_0805","中级","基础配置","供应商管理","查询条件设置","验证更多+添加条件功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开查询条件设置面板
步骤2: 点击「更多」展开条件
步骤3: 点击「添加条件」","操作:进入编辑页不做任何修改直接保存","1. 「更多」可展开展示更多条件
2. 点击添加条件后新增一行条件配置","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","点击「+」新增一行条件正常"
"APS_JCPZ_0806","中级","基础配置","供应商管理","查询条件设置","验证条件字段选择下拉是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开查询条件设置面板
步骤2: 点击条件的字段下拉框
步骤3: 查看可选字段","操作:未修改任何数据直接点击返回","1. 字段下拉正常展开
2. 可选字段覆盖列表主要字段（供应商名称、供应商编码、供应商类型、数据状态等）","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","字段下拉展开正常,21个可选字段完整覆盖主要字段"
"APS_JCPZ_0807","中级","基础配置","供应商管理","查询条件设置","验证条件运算符选择下拉是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开查询条件设置面板
步骤2: 选择条件字段后点击运算符下拉","供应商名称:修改后的名称
操作:修改数据后点击返回","1. 运算符下拉正常展开
2. 展示等于、不等于、包含、为空、不为空等运算符
3. 运算符与字段类型匹配","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","运算符下拉正常展开(等于/不等于/包含/不包含/为空/不为空),与字段类型匹配"
"APS_JCPZ_0808","中级","基础配置","供应商管理","查询条件设置","验证单条件查询功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置单个查询条件（供应商类型 等于 采购供应商）
步骤2: 点击查询","供应商类型=采购供应商","1. 列表仅展示满足条件的数据
2. 查询结果正确","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","供应商类型=采购供应商单条件查询,列表177条过滤正确"
"APS_JCPZ_0809","中级","基础配置","供应商管理","查询条件设置","验证多条件组合查询功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置多个查询条件
步骤2: 点击查询","供应商类型=采购供应商;数据状态=已审核","1. 列表展示同时满足所有条件的数据
2. 组合查询结果正确","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0810","中级","基础配置","供应商管理","查询条件设置","验证条件拖拽排序是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开查询条件设置面板
步骤2: 拖拽调整条件顺序","操作:点击联系人区域新建按钮
联系人:张三
性别:男
职务:采购经理","1. 条件可拖拽调整顺序
2. 调整后顺序正确展示","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","条件上下移动调整顺序正常,调整后正确展示"
"APS_JCPZ_0811","中级","基础配置","供应商管理","查询条件设置","验证条件展开/收起功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 点击查询条件区域「展开」
步骤2: 点击「收起」","操作:在联系人列表直接修改字段值","1. 展开后展示全部查询条件
2. 收起后仅展示默认条件
3. 展开/收起切换正常","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0812","中级","基础配置","供应商管理","查询条件设置","验证条件-删除单个条件是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 打开查询条件设置面板
步骤2: 点击某条件的「删除」按钮","操作:未勾选任何记录点击删除","1. 该条件被删除
2. 其余条件不受影响","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","删除单个条件正常,其余条件不受影响"
"APS_JCPZ_0813","中级","基础配置","供应商管理","查询条件设置","验证查询值自动映射到条件","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 在搜索框输入查询值并查询
步骤2: 打开查询条件设置面板查看条件","操作:勾选单个联系人记录点击删除","1. 搜索框输入的查询值自动映射到对应查询条件中
2. 条件字段、运算符、值对应正确","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0814","中级","基础配置","供应商管理","查询条件设置","验证查询条件重置-取消/重置是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置多个查询条件
步骤2: 点击「重置」
步骤3: 再次设置条件后点击「取消」","操作:勾选多个联系人记录点击删除","1. 点击重置后条件恢复默认
2. 点击取消后未保存的条件不生效","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","点击返回(取消)后未保存的条件不生效,值恢复为空"
"APS_JCPZ_0815","高级","基础配置","供应商管理","查询条件设置","验证查询条件设置保存-刷新/重进页面是否保持","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置查询条件并保存
步骤2: 刷新页面
步骤3: 退出后重新进入页面","操作:未勾选任何记录点击启用","1. 刷新后查询条件配置保持
2. 重新进入页面配置仍保持","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","保存的查询条件刷新(数据重载)后保持;重进保持与刷新同源,退出重登见0816"
"APS_JCPZ_0816","高级","基础配置","供应商管理","查询条件设置","验证查询条件设置保存-退出重新登录是否保持","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置查询条件并保存
步骤2: 退出登录
步骤3: 重新登录进入页面","操作:勾选单个停用联系人点击启用","1. 重新登录后查询条件配置仍保持","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0817","中级","基础配置","供应商管理","搜索","验证搜索框默认展示是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 查看顶部搜索区域","操作:勾选多个停用联系人点击启用","1. 搜索框正常展示
2. 默认字段、运算符及提示文案展示正确","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","搜索框正常展示,字段/运算符/按钮/值控件均正常"
"APS_JCPZ_0818","中级","基础配置","供应商管理","搜索","验证搜索框字段选择展示是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 点击搜索框字段下拉
步骤2: 查看可选字段","操作:未勾选任何记录点击停用","1. 字段下拉正常展开
2. 包含供应商名称、供应商编码、供应商简称等可搜索字段","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","搜索字段下拉正常展开,21个可搜索字段完整(含供应商名称/编码/简称等)"
"APS_JCPZ_0819","中级","基础配置","供应商管理","搜索","验证搜索框运算符选择展示是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 点击搜索框运算符下拉","操作:勾选单个启用联系人点击停用","1. 运算符下拉正常展开
2. 展示等于、不等于、包含、大于、小于、为空、不为空等运算符","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","运算符下拉正常展开,运算符随字段类型匹配(枚举:等于/不等于/为空/不为空;文本:含包含等)"
"APS_JCPZ_0820","中级","基础配置","供应商管理","搜索","验证""等于""搜索是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 选择字段「供应商编码」，运算符「等于」，输入完整编码
步骤2: 点击搜索","供应商编码=列表中已存在的完整编码","1. 列表仅展示完全匹配的记录
2. 搜索结果正确","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","供应商编码=CG111111等于搜索,列表仅展示1条完全匹配记录"
"APS_JCPZ_0821","中级","基础配置","供应商管理","搜索","验证""不等于""搜索是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 选择字段「供应商类型」，运算符「不等于」，选择值
步骤2: 点击搜索","供应商类型 不等于 采购供应商","1. 列表展示不等于该值的所有记录
2. 搜索结果正确","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","供应商类型≠采购供应商搜索,展示物流/其他供应商记录,排除采购供应商"
"APS_JCPZ_0822","中级","基础配置","供应商管理","搜索","验证""包含""搜索是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 选择字段「供应商名称」，运算符「包含」，输入关键字
步骤2: 点击搜索","关键字:实业","1. 列表展示名称包含关键字的所有记录
2. 模糊匹配正确","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","供应商名称包含「实业」模糊匹配正确"
"APS_JCPZ_0823","中级","基础配置","供应商管理","搜索","验证""大于/大于等于""搜索是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 选择字段「创建时间」，运算符「大于等于」，选择日期
步骤2: 点击搜索","创建时间 大于等于 某日期","1. 列表展示满足条件的记录
2. 边界值包含正确","不通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","筛选操作符只有“介于”"
"APS_JCPZ_0824","中级","基础配置","供应商管理","搜索","验证""小于/小于等于""搜索是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 选择字段「创建时间」，运算符「小于等于」，选择日期
步骤2: 点击搜索","创建时间 小于等于 某日期","1. 列表展示满足条件的记录
2. 边界值包含正确","不通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","筛选操作符只有“介于”"
"APS_JCPZ_0825","中级","基础配置","供应商管理","搜索","验证""为空""搜索是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 选择字段「供应商简称」，运算符「为空」
步骤2: 点击搜索","供应商简称 为空","1. 列表展示该字段为空的记录","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","供应商简称为空搜索,列表展示简称为空记录"
"APS_JCPZ_0826","中级","基础配置","供应商管理","搜索","验证""不为空""搜索是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 选择字段「供应商简称」，运算符「不为空」
步骤2: 点击搜索","供应商简称 不为空","1. 列表展示该字段有值的记录","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","供应商简称不为空搜索,列表展示简称有值记录"
"APS_JCPZ_0827","中级","基础配置","供应商管理","搜索","验证组合搜索是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置多个搜索条件
步骤2: 点击搜索","供应商名称 包含 实业;数据状态 等于 已审核","1. 列表展示同时满足组合条件的记录
2. 搜索结果正确","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0828","中级","基础配置","供应商管理","搜索","验证搜索值不存在时列表展示是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 输入不存在的搜索值
步骤2: 点击搜索","供应商名称 包含 不存在的值xyz123","1. 列表展示空数据提示（如「暂无数据」）
2. 页面无报错","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","供应商名称包含xyz123搜索,列表展示「暂无数据」,页面无报错"
"APS_JCPZ_0829","中级","基础配置","供应商管理","搜索","验证搜索框重置功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 设置搜索条件并查询
步骤2: 点击「重置」","前提:已配置个人导出模板
勾选记录数:0","1. 搜索条件被清空恢复默认
2. 列表恢复展示全部数据","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0830","高级","基础配置","供应商管理","搜索","验证搜索框跨页搜索功能是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.供应商数据超过1页","步骤1: 切换到第2页
步骤2: 设置搜索条件查询","前提:已配置个人导出模板
勾选记录数:多条（部分勾选）","1. 搜索结果基于全部数据查询而非当前页
2. 搜索后分页重置到第1页
3. 搜索结果正确","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0831","中级","基础配置","供应商管理","编辑","验证编辑入口（列表点击编辑按钮）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 点击某条记录的「编辑」按钮","前提:当前账号未配置个人导出模板","1. 正常进入编辑页面
2. 编辑页正确加载该供应商数据","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","点击供应商名称列超链接进入编辑详情页(supplierManagementDetail)"
"APS_JCPZ_0832","中级","基础配置","供应商管理","编辑","验证编辑页字段展示是否正常（基础信息+联系人信息全部字段展示）","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商编辑页
步骤2: 查看基础信息区字段
步骤3: 查看联系人信息区字段","字段选择:全选
操作:勾选全选后保存","1. 基础信息区正确展示：创建组织、使用组织、供应商类型、供应商编码、供应商名称、简称、国家、地址、数据状态、禁用状态、协同方式
2. 联系人信息区正确展示：联系人、电话、手机、传真、电子邮箱、备注
3. 各字段值与列表数据一致","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","编辑详情页基础信息(创建组织/使用组织/供应商类型/编码/名称/简称/国家/地址/数据状态/禁用状态/协同方式)+联系人信息(联系人/电话/手机/传真/电子邮箱/备注)字段展示正常"
"APS_JCPZ_0833","中级","基础配置","供应商管理","编辑","验证除协同方式外其他字段均只读不可编辑","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商编辑页
步骤2: 依次尝试编辑基础信息区及联系人信息区各字段（协同方式除外）","字段选择:供应商名称、供应商编码、供应商类型
操作:只勾选部分字段保存","1. 创建组织、使用组织、供应商类型、供应商编码、供应商名称、简称、国家、地址、数据状态、禁用状态均不可编辑
2. 联系人、电话、手机、传真、电子邮箱、备注均不可编辑
3. 仅「协同方式」可编辑","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","创建组织/使用组织/供应商类型/国家等字段为disabled只读,名称/简称/地址等输入框只读;协同方式可编辑(用户确认)"
"APS_JCPZ_0834","中级","基础配置","供应商管理","编辑","验证协同方式下拉选项展示是否正常（线上、线下）","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商编辑页
步骤2: 点击「协同方式」下拉框","操作:拖动字段调整顺序后保存
调整示例:将供应商编码调整至第一列","1. 下拉正常展开
2. 选项仅包含：线上、线下","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0835","高级","基础配置","供应商管理","编辑","验证修改协同方式保存是否正常（保存后列表同步更新）","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商编辑页
步骤2: 修改协同方式（如线上→线下）
步骤3: 点击保存
步骤4: 返回列表查看该记录","协同方式:线上→线下","1. 保存成功并提示
2. 列表中该供应商协同方式更新为修改后的值
3. 其他字段数据未发生变化","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","编辑详情页未定位到保存按钮(页面只读形态),协同方式修改保存机制需人工确认"
"APS_JCPZ_0836","高级","基础配置","供应商管理","编辑","验证协同方式必填校验（清空后保存提示）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商编辑页
步骤2: 清空协同方式
步骤3: 点击保存","搜索条件:不存在的关键字
列表数据:空","1. 保存失败
2. 提示协同方式为必填项","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0837","中级","基础配置","供应商管理","编辑","验证未修改数据直接保存是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商编辑页
步骤2: 不修改任何数据直接点击保存","操作:完成任意一种导出后验证文件格式","1. 保存正常，数据无变化
2. 页面无报错","不通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","必须选择协同方式"
"APS_JCPZ_0838","中级","基础配置","供应商管理","编辑","验证未修改数据点击返回是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商编辑页
步骤2: 不修改数据点击「返回」","","1. 直接返回列表页
2. 无提示弹窗","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","未修改数据点击返回直接回到列表页,无提示弹窗"
"APS_JCPZ_0839","中级","基础配置","供应商管理","编辑","验证已修改数据点击返回（提示确认）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商编辑页
步骤2: 修改协同方式
步骤3: 点击「返回」","","1. 弹出未保存提示（如确认离开）
2. 确认后返回列表，修改不保存
3. 取消后停留编辑页","不通过","胡嘉斌","2026/8/12","李海珍","2026/7/31","未显示 弹出未保存提示（如确认离开）"
"APS_JCPZ_0840","高级","基础配置","供应商管理","导出","验证导出供应商（按自定义列导出-导出全部查询结果）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 设置查询条件（或不设置）
步骤3: 点击导出按钮选择「按自定义列导出-导出全部查询结果」","","1. 导出文件成功生成并下载
2. 文件包含全部查询结果数据
3. 导出列与列表当前展示列一致","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
"APS_JCPZ_0841","高级","基础配置","供应商管理","导出","验证导出供应商（按自定义列导出-勾选部分记录导出）是否正常","1.已登录系统
2.具有基础配置-供应商管理查看权限
3.列表中存在供应商数据","步骤1: 进入供应商管理列表页面
步骤2: 勾选部分记录
步骤3: 点击导出按钮选择「按自定义列导出-导出勾选记录」","","1. 导出文件仅包含勾选的记录
2. 数据正确无遗漏","通过","胡嘉斌","2026/8/12","李海珍","2026/7/31",""
